,Rank,Title,Rating
0,1,Planet Earth II,9.5
1,2,Planet Earth,9.4
2,3,Breaking Bad,9.4
3,4,Band of Brothers,9.4
4,5,Chernobyl,9.3
5,6,The Wire,9.3
6,7,Blue Planet II,9.3
7,8,Our Planet,9.2
8,9,Cosmos: A Spacetime Odyssey,9.2
9,10,Avatar: The Last Airbender,9.2
10,11,Cosmos,9.2
11,12,Game of Thrones,9.2
12,13,The Sopranos,9.2
13,14,Rick and Morty,9.1
14,15,Arcane,9.1
15,16,The World at War,9.1
16,17,The Last Dance,9.1
17,18,Life,9.1
18,19,Fullmetal Alchemist: Brotherhood,9.0
19,20,Sherlock,9.0
20,21,The Vietnam War,9.0
21,22,Scam 1992: The Harshad Mehta Story,9.0
22,23,The Twilight Zone,9.0
23,24,The Blue Planet,9.0
24,25,Batman: The Animated Series,9.0
25,26,Human Planet,9.0
26,27,Clarkson's Farm,8.9
27,28,Firefly,8.9
28,29,Persona,8.9
29,30,Frozen Planet,8.9
30,31,Death Note,8.9
31,32,Dekalog,8.9
32,33,True Detective,8.9
33,34,Cowboy Bebop,8.9
34,35,The Civil War,8.9
35,36,Attack on Titan,8.9
36,37,Fargo,8.9
37,38,Hunter x Hunter,8.9
38,39,The Office,8.9
39,40,When They See Us,8.9
40,41,Africa,8.8
41,42,Apocalypse: The Second World War,8.8
42,43,Only Fools and Horses,8.8
43,44,Last Week Tonight with John Oliver,8.8
44,45,Dexter: New Blood,8.8
45,46,TVF Pitchers,8.8
46,47,Gravity Falls,8.8
47,48,Seinfeld,8.8
48,49,Das Boot,8.8
49,50,Monty Python's Flying Circus,8.8
50,51,Nathan for You,8.8
51,52,Friends,8.8
52,53,Pride and Prejudice,8.8
53,54,Black Mirror,8.7
54,55,Twin Peaks,8.7
55,56,Over the Garden Wall,8.7
56,57,Kota Factory,8.7
57,58,Fawlty Towers,8.7
58,59,Narcos,8.7
59,60,Blackadder Goes Forth,8.7
60,61,It's Always Sunny in Philadelphia,8.7
61,62,Ted Lasso,8.7
62,63,Freaks and Geeks,8.7
63,64,Better Call Saul,8.7
64,65,Chappelle's Show,8.7
65,66,The Mandalorian,8.7
66,67,Peaky Blinders,8.7
67,68,The West Wing,8.7
68,69,Dark,8.7
69,70,Steins;Gate,8.7
70,71,One Punch Man,8.7
71,72,BoJack Horseman,8.7
72,73,Dragon Ball Z,8.7
73,74,Curb Your Enthusiasm,8.7
74,75,Rome,8.7
75,76,Dragon Ball Z,8.7
76,77,"I, Claudius",8.7
77,78,Vinland Saga,8.7
78,79,Invincible,8.7
79,80,Oz,8.7
80,81,Fleabag,8.7
81,82,Leyla and Mecnun,8.7
82,83,Arrested Development,8.7
83,84,Succession,8.7
84,85,Stranger Things,8.6
85,86,Six Feet Under,8.6
86,87,The Marvelous Mrs. Maisel,8.6
